city,year,land_type,aqi,green_cover_percent,water_quality_index,flood_risk_score,dist_expressway_km,dist_metro_railway_km,near_industrial_zone,avg_price_per_sqft
Meerut,2024,Mixed-use,150,6.2,52.0,0.21,6.9,0.5,0,4104.93
Meerut,2022,Residential,209,9.6,54.7,0.19,13.5,2.9,0,2778.15
Khekra,2023,Mixed-use,145,18.5,49.9,0.74,10.4,35.4,1,1783.48
Khekra,2015,Agricultural,163,23.1,63.2,0.62,20.4,21.8,0,233.78
Khekra,2021,Residential,129,17.7,70.5,0.53,20.8,21.8,0,1442.79
Khekra,2018,Agricultural,103,18.6,70.5,0.58,15.1,34.7,0,283.17
Sardhana,2016,Commercial,131,22.1,58.6,0.25,29.7,37.4,0,2036.57
Sardhana,2017,Agricultural,144,16.4,77.2,0.53,42.4,54.1,1,202.08
Modinagar,2023,Agricultural,150,10.6,66.5,0.19,17.2,28.3,0,464.85
Sardhana,2019,Mixed-use,166,25.2,73.5,0.53,17.5,24.2,0,1806.39
Hapur,2022,Mixed-use,160,14.6,45.7,0.33,14.1,22.0,1,1982.07
Mawana,2018,Mixed-use,137,25.6,76.7,0.66,46.7,44.4,0,1491.22
Meerut,2020,Commercial,206,12.3,33.7,0.17,13.3,13.3,1,3048.31
Mawana,2017,Commercial,114,33.5,59.8,0.51,38.0,45.8,0,1835.86
Modinagar,2017,Agricultural,163,10.3,44.4,0.18,15.6,7.4,0,319.65
Baghpat,2016,Agricultural,171,18.7,59.1,0.49,13.3,48.4,0,248.18
Khekra,2025,Residential,102,22.8,56.8,0.58,23.8,15.9,1,1891.39
Modinagar,2017,Commercial,162,11.1,52.5,0.39,0.5,16.2,0,2664.28
Meerut,2023,Residential,184,17.8,34.1,0.52,3.0,0.5,1,2408.9
Muradnagar,2023,Residential,179,9.1,60.4,0.41,15.6,11.9,0,2059.18
Ghaziabad,2016,Agricultural,157,6.0,61.8,0.44,0.5,7.6,1,563.81
Sardhana,2025,Mixed-use,102,17.4,79.4,0.62,19.6,41.1,0,2312.39
Modinagar,2017,Commercial,177,12.2,67.0,0.32,0.7,8.2,0,2811.57
Baghpat,2024,Commercial,118,19.9,58.2,0.64,26.4,31.2,0,3085.27
Muradnagar,2015,Agricultural,155,16.3,47.7,0.16,14.0,22.4,1,278.29
Sardhana,2023,Commercial,131,23.6,75.8,0.51,33.5,51.8,1,2661.85
Meerut,2017,Mixed-use,195,7.1,54.0,0.14,5.9,9.5,1,2356.62
Ghaziabad,2023,Agricultural,248,2.0,60.3,0.17,1.0,0.5,1,650.44
Hapur,2023,Agricultural,187,7.6,74.0,0.3,5.8,9.3,0,354.7
Hapur,2025,Commercial,222,6.8,40.6,0.52,23.5,15.5,0,3036.77
Mawana,2025,Agricultural,158,25.5,64.1,0.6,27.4,47.2,0,301.73
Sardhana,2021,Agricultural,118,29.6,54.3,0.63,17.0,23.7,0,291.55
Mawana,2021,Commercial,110,22.5,54.3,0.71,32.9,40.9,0,2140.43
Ghaziabad,2022,Residential,196,10.1,48.1,0.16,17.5,11.9,1,3565.63
Mawana,2023,Mixed-use,110,23.5,74.6,0.89,31.3,42.9,0,2054.31
Ghaziabad,2023,Commercial,187,10.7,33.7,0.2,2.1,5.4,1,5922.52
Hapur,2021,Mixed-use,234,10.9,57.5,0.28,19.0,13.2,0,1997.24
Hapur,2017,Mixed-use,115,13.5,49.3,0.48,13.0,23.8,1,1575.83
Khekra,2018,Mixed-use,143,20.6,60.0,0.66,17.9,50.0,0,1668.93
Khekra,2024,Agricultural,131,14.3,56.1,0.63,14.4,18.0,0,304.95
Modinagar,2020,Residential,185,6.2,43.4,0.44,9.6,13.2,1,1478.95
Meerut,2015,Residential,199,7.0,60.7,0.41,17.6,8.1,1,1439.03
Hapur,2015,Commercial,170,8.1,67.9,0.66,19.8,24.6,0,1740.15
Modinagar,2024,Agricultural,111,9.2,45.7,0.39,13.8,6.0,1,397.07
Modinagar,2017,Mixed-use,179,12.0,58.3,0.45,6.3,15.6,0,2068.02
Sardhana,2022,Mixed-use,116,18.1,57.8,0.32,34.2,29.6,0,2091.53
Sardhana,2025,Commercial,131,20.2,60.6,0.4,20.7,58.9,0,3124.49
Muradnagar,2022,Residential,154,16.0,60.1,0.24,7.8,10.6,1,1904.69
Khekra,2015,Commercial,104,13.0,67.3,0.54,24.8,21.2,0,1880.83
Muradnagar,2017,Commercial,185,5.6,62.3,0.09,17.0,27.6,1,2145.44
Ghaziabad,2015,Mixed-use,227,7.6,63.2,0.26,0.5,14.2,1,2878.96
Ghaziabad,2025,Residential,180,11.9,50.1,0.14,0.9,0.5,1,4630.21
Mawana,2024,Mixed-use,151,25.7,94.4,0.87,18.2,35.5,0,1985.07
Hapur,2017,Residential,176,8.9,64.6,0.39,16.5,22.8,1,1064.17
Hapur,2020,Mixed-use,244,13.5,62.7,0.51,12.3,16.5,0,1745.83
Pilkhuwa,2024,Mixed-use,184,10.1,66.0,0.13,22.2,18.4,0,2741.53
Khekra,2025,Residential,82,23.0,51.8,0.57,22.9,37.0,0,1955.01
Sardhana,2017,Agricultural,122,30.6,70.7,0.3,23.1,36.5,0,274.25
Sardhana,2015,Commercial,150,28.7,75.3,0.57,42.3,39.5,0,1720.72
Meerut,2020,Residential,221,1.5,48.2,0.23,2.8,11.8,1,1780.67
Sardhana,2016,Residential,93,17.7,72.2,0.61,37.7,24.0,1,1038.37
Baghpat,2016,Mixed-use,189,21.9,70.1,0.82,19.9,21.4,0,1409.49
Sardhana,2020,Commercial,174,27.4,60.9,0.46,37.1,37.4,0,2363.64
Meerut,2024,Residential,188,5.5,50.0,0.24,1.2,10.3,0,3070.64
Khekra,2021,Residential,117,20.5,44.7,0.51,16.2,29.5,0,1656.4
Muradnagar,2016,Mixed-use,180,8.1,55.0,0.29,17.3,12.6,1,1578.25
Pilkhuwa,2018,Mixed-use,148,15.7,54.7,0.22,6.6,20.4,0,2026.16
Ghaziabad,2024,Commercial,226,5.4,50.5,0.12,7.7,7.8,1,5578.3
Meerut,2025,Mixed-use,174,3.5,63.0,0.11,2.9,16.8,1,3869.28
Meerut,2024,Residential,217,8.4,50.5,0.31,11.7,11.2,0,2905.25
Baghpat,2021,Mixed-use,157,16.1,71.3,0.65,6.3,31.5,1,1765.16
Baghpat,2015,Mixed-use,101,29.3,71.3,0.87,5.5,36.1,1,1322.48
Pilkhuwa,2021,Mixed-use,203,8.4,58.7,0.44,10.4,26.4,1,1764.39
Hapur,2018,Residential,167,17.2,45.6,0.32,17.0,26.0,0,1380.44
Khekra,2020,Commercial,132,25.4,51.5,0.52,26.0,27.8,0,2414.54
Pilkhuwa,2015,Mixed-use,191,18.9,70.2,0.07,21.0,26.1,0,1715.81
Ghaziabad,2017,Residential,236,1.0,55.7,0.08,0.6,0.5,0,2864.38
Khekra,2020,Agricultural,163,23.1,52.9,0.42,28.0,17.7,0,281.34
Khekra,2024,Commercial,149,16.5,62.9,0.43,24.9,31.8,1,2704.17
Mawana,2019,Mixed-use,136,22.8,60.7,0.83,24.9,34.0,1,1209.94
Ghaziabad,2016,Mixed-use,246,13.8,64.0,0.31,2.7,7.0,1,3175.26
Sardhana,2024,Mixed-use,135,21.4,62.4,0.62,23.4,48.3,1,1895.16
Mawana,2022,Commercial,121,19.4,69.7,0.67,35.6,50.8,0,2251.86
Sardhana,2020,Commercial,121,26.0,78.6,0.51,18.2,44.3,1,2341.2
Hapur,2019,Mixed-use,146,11.8,56.1,0.35,0.5,20.5,1,1761.37
Muradnagar,2019,Agricultural,170,15.5,64.0,0.36,5.2,4.8,0,333.15
Khekra,2024,Mixed-use,134,15.7,73.6,0.47,17.7,25.5,0,2651.88
Ghaziabad,2019,Residential,199,1.0,58.5,0.23,8.0,0.5,1,2986.92
Mawana,2022,Mixed-use,160,26.9,60.5,0.68,36.3,48.1,0,1874.58
Hapur,2018,Agricultural,149,8.3,45.3,0.34,8.4,16.2,1,234.74
Khekra,2017,Mixed-use,149,17.0,64.1,0.6,17.7,21.9,0,1511.11
Baghpat,2017,Mixed-use,127,17.5,69.3,0.84,17.1,34.2,0,1534.24
Sardhana,2023,Residential,109,21.5,66.8,0.44,39.8,40.7,0,1786.47
Muradnagar,2017,Mixed-use,150,3.3,51.6,0.1,11.5,35.6,0,1866.5
Sardhana,2019,Mixed-use,139,21.3,56.6,0.24,43.7,30.7,1,1416.14
Ghaziabad,2020,Mixed-use,247,9.5,52.8,0.05,10.7,4.6,0,4647.37
Pilkhuwa,2016,Mixed-use,209,10.1,60.3,0.32,10.8,13.3,0,1505.23
Ghaziabad,2020,Residential,256,5.2,52.4,0.25,7.3,21.7,1,2880.08
Mawana,2015,Mixed-use,181,26.7,66.9,0.59,28.8,32.7,0,1070.05
Meerut,2015,Commercial,232,4.2,69.8,0.34,2.8,11.6,0,2871.42
Pilkhuwa,2018,Commercial,140,12.2,63.8,0.35,10.8,12.3,1,2066.5
Baghpat,2017,Commercial,122,23.5,79.8,0.5,26.5,34.0,1,2006.69
Muradnagar,2018,Mixed-use,196,19.8,57.9,0.25,23.6,30.5,0,2039.54
Modinagar,2019,Commercial,135,14.3,55.5,0.41,9.8,21.9,0,3116.39
Modinagar,2021,Mixed-use,237,7.5,61.3,0.09,10.7,8.3,1,2051.13
Meerut,2016,Agricultural,231,11.9,33.8,0.26,13.4,0.5,0,397.95
Meerut,2023,Commercial,228,5.5,52.7,0.38,0.6,11.9,0,4128.01
Baghpat,2020,Mixed-use,193,17.4,66.6,0.83,32.3,42.6,1,1482.46
Mawana,2025,Commercial,171,22.2,86.1,0.61,28.1,42.6,0,2819.36
Hapur,2019,Mixed-use,183,15.6,53.8,0.48,8.8,11.3,0,1969.21
Meerut,2021,Residential,215,1.0,43.3,0.37,5.8,9.8,0,2217.27
Sardhana,2020,Commercial,137,17.4,84.8,0.45,34.9,41.6,0,2166.59
Baghpat,2018,Commercial,100,13.7,61.0,0.59,20.3,39.3,0,2237.04
Baghpat,2018,Commercial,157,16.6,65.5,0.5,30.4,30.2,0,2245.67
Sardhana,2025,Agricultural,155,21.1,63.7,0.54,19.7,43.1,0,335.19
Muradnagar,2025,Mixed-use,203,11.8,70.5,0.3,14.9,34.7,1,2352.12
Mawana,2019,Commercial,215,20.9,66.2,0.63,24.9,35.0,0,1690.14
Pilkhuwa,2023,Agricultural,199,14.0,67.2,0.56,16.5,27.2,0,319.51
Muradnagar,2023,Commercial,168,17.2,48.9,0.46,16.6,22.9,1,2711.89
Modinagar,2021,Mixed-use,142,11.4,60.8,0.26,1.0,19.5,0,2791.15
Modinagar,2023,Mixed-use,217,11.4,66.9,0.36,9.6,1.0,1,2408.33
Sardhana,2019,Agricultural,138,15.6,72.7,0.44,38.9,40.1,0,283.29
Hapur,2021,Agricultural,190,12.9,59.7,0.64,11.0,16.0,0,303.71
Hapur,2019,Agricultural,213,15.0,79.5,0.14,9.0,42.2,0,316.87
Sardhana,2019,Residential,141,21.4,71.6,0.61,34.2,40.6,0,1348.6
Ghaziabad,2019,Residential,210,1.0,53.9,0.33,4.5,6.9,1,2819.78
Modinagar,2025,Mixed-use,168,13.1,62.7,0.56,0.5,15.1,1,2817.14
Sardhana,2015,Residential,108,24.7,53.3,0.54,26.7,48.3,1,973.66
Pilkhuwa,2022,Agricultural,160,14.6,43.3,0.54,11.5,16.4,0,325.17
Baghpat,2021,Residential,111,26.6,54.1,0.33,26.3,39.4,1,1620.26
Pilkhuwa,2017,Mixed-use,153,9.8,51.2,0.27,15.5,29.5,1,1569.89
Pilkhuwa,2015,Commercial,211,16.4,44.1,0.38,14.5,23.5,1,1542.3
Hapur,2017,Agricultural,189,17.7,57.1,0.3,6.4,26.9,0,273.4
Modinagar,2024,Agricultural,217,5.7,51.7,0.3,5.0,9.4,1,368.67
Muradnagar,2016,Commercial,111,12.8,58.1,0.41,6.8,26.5,0,2552.46
Meerut,2018,Residential,189,13.1,47.7,0.35,0.5,6.0,0,2177.65
Muradnagar,2016,Residential,195,2.4,61.9,0.44,0.5,3.5,0,1317.69
Muradnagar,2016,Mixed-use,123,6.4,49.5,0.38,0.5,10.7,0,1924.46
Pilkhuwa,2024,Commercial,192,13.1,77.2,0.34,7.6,29.6,1,2967.62
Ghaziabad,2021,Residential,165,5.7,57.5,0.31,8.7,8.3,1,3129.42
Meerut,2019,Mixed-use,101,9.2,46.4,0.3,0.5,7.3,1,2905.51
Hapur,2024,Commercial,222,12.5,61.7,0.11,10.1,20.7,0,3334.3
Ghaziabad,2018,Agricultural,165,8.9,51.9,0.17,2.5,3.3,1,599.73
Meerut,2024,Mixed-use,150,6.2,61.3,0.29,8.8,0.5,0,4191.73
Modinagar,2019,Residential,223,18.0,43.5,0.44,19.3,6.3,1,1565.25
Ghaziabad,2015,Residential,251,4.3,56.3,0.38,0.5,2.2,1,2126.1
Ghaziabad,2022,Commercial,253,2.5,45.4,0.34,4.6,6.0,0,5614.06
Muradnagar,2023,Agricultural,170,5.3,59.0,0.3,12.1,26.9,0,391.95
Baghpat,2018,Residential,146,18.3,75.9,0.65,20.7,25.0,1,1230.69
Mawana,2020,Mixed-use,142,24.1,69.0,0.91,27.2,42.2,0,1634.58
Baghpat,2018,Mixed-use,146,20.8,70.2,0.64,23.8,43.9,0,1734.4
Baghpat,2022,Commercial,128,12.1,74.5,0.72,6.6,24.8,1,2293.44
Pilkhuwa,2016,Agricultural,127,12.5,57.5,0.47,12.8,24.3,0,271.67
Meerut,2020,Commercial,213,16.2,52.7,0.25,4.4,21.8,0,3958.16
Khekra,2021,Mixed-use,118,21.0,48.9,0.37,33.3,21.7,1,1682.92
Hapur,2025,Commercial,166,13.9,45.8,0.33,4.2,31.2,1,2949.45
Sardhana,2022,Commercial,77,18.7,48.2,0.7,26.2,43.5,0,2336.94
Muradnagar,2020,Commercial,205,12.4,52.0,0.2,5.6,22.0,1,2306.82
Ghaziabad,2018,Residential,192,13.5,55.1,0.1,0.5,2.5,1,3139.54
Hapur,2019,Commercial,110,11.2,62.3,0.18,8.2,27.5,1,2458.97
Baghpat,2022,Agricultural,133,21.6,71.8,0.78,26.8,40.1,0,342.57
Ghaziabad,2021,Residential,204,10.6,39.4,0.33,8.3,15.5,1,3140.33
Ghaziabad,2025,Commercial,178,10.0,51.9,0.28,0.5,2.7,1,7021.87
Hapur,2017,Agricultural,188,15.6,45.6,0.3,20.9,31.2,0,274.03
Pilkhuwa,2020,Commercial,139,11.8,63.3,0.33,14.3,8.4,1,2196.5
Sardhana,2024,Agricultural,135,23.4,73.9,0.42,29.1,33.6,0,338.06
Ghaziabad,2015,Residential,167,6.9,43.3,0.37,11.9,15.2,0,2243.25
Hapur,2024,Commercial,160,7.2,51.9,0.31,10.8,26.4,0,2915.77
Pilkhuwa,2025,Agricultural,195,15.6,49.3,0.36,17.8,25.1,0,357.22
Khekra,2018,Mixed-use,160,22.1,60.5,0.52,20.9,43.9,0,1576.21
Meerut,2023,Residential,218,6.2,49.9,0.29,11.8,0.5,0,2537.91
Meerut,2022,Mixed-use,233,8.2,60.6,0.56,0.8,8.7,1,2790.19
Khekra,2021,Commercial,142,16.8,66.9,0.44,23.6,24.2,0,2746.08
Muradnagar,2024,Agricultural,159,15.4,65.7,0.24,7.9,36.8,0,434.74
Pilkhuwa,2018,Mixed-use,184,19.3,36.7,0.37,7.9,12.6,1,1576.37
Mawana,2015,Mixed-use,123,20.1,59.8,0.62,42.7,49.3,0,1150.14
Pilkhuwa,2022,Mixed-use,181,8.0,74.0,0.39,28.6,15.1,0,2163.29
Sardhana,2020,Agricultural,165,25.1,61.7,0.42,33.9,35.8,0,252.41
Baghpat,2022,Agricultural,193,26.6,62.1,0.59,27.2,34.4,0,311.22
Muradnagar,2019,Agricultural,181,9.1,73.8,0.35,12.3,26.7,0,326.75
Khekra,2018,Agricultural,151,19.3,53.1,0.42,17.8,27.3,1,227.24
Mawana,2024,Agricultural,113,30.6,53.5,0.76,35.8,43.4,1,257.88
Muradnagar,2017,Residential,160,7.5,61.7,0.18,11.7,16.9,1,1278.76
Pilkhuwa,2024,Residential,139,16.6,68.2,0.46,8.0,25.4,1,2022.58
Mawana,2015,Agricultural,111,29.6,55.2,0.66,37.5,48.0,0,203.31
Modinagar,2023,Residential,174,18.8,59.9,0.42,12.7,10.4,1,1988.97
Muradnagar,2016,Agricultural,158,10.4,47.1,0.29,7.3,14.4,0,288.57
Pilkhuwa,2023,Commercial,173,10.3,70.9,0.54,20.3,25.2,0,2988.83
Modinagar,2015,Commercial,190,12.4,58.0,0.56,0.5,12.4,1,2012.16
Khekra,2015,Residential,91,18.1,65.2,0.6,12.3,43.9,0,1192.59
Mawana,2021,Commercial,158,23.1,65.8,0.5,26.3,42.4,0,2170.47
Modinagar,2020,Residential,226,5.6,48.2,0.46,7.9,0.9,0,1733.79
Sardhana,2015,Mixed-use,87,21.9,58.9,0.5,41.0,36.7,0,1334.35
Baghpat,2024,Mixed-use,108,20.2,61.0,0.7,35.7,20.1,0,2364.39
Modinagar,2025,Mixed-use,169,8.4,67.8,0.23,0.5,7.2,0,3644.52
Pilkhuwa,2016,Commercial,122,14.4,63.4,0.39,2.6,26.9,0,2067.08
Mawana,2020,Mixed-use,124,26.0,71.0,0.79,25.7,46.3,0,1592.22
Ghaziabad,2019,Residential,205,10.6,45.7,0.37,12.8,3.6,0,3350.89
Mawana,2018,Commercial,193,20.3,60.6,0.61,27.6,23.5,1,1420.0
Modinagar,2025,Agricultural,157,16.8,51.3,0.37,6.1,9.8,1,421.36
Pilkhuwa,2020,Residential,149,16.0,47.6,0.2,22.4,26.9,0,1921.15
Modinagar,2025,Commercial,143,11.1,36.8,0.19,14.1,20.4,0,3947.41
Meerut,2022,Agricultural,181,7.0,60.4,0.32,11.6,10.4,1,437.07
Meerut,2021,Mixed-use,190,6.8,55.7,0.43,8.7,9.8,0,3045.98
Baghpat,2021,Residential,145,31.6,55.6,0.71,29.4,16.6,0,1658.28
Meerut,2024,Residential,155,14.0,52.8,0.35,9.2,3.6,0,3296.03
Modinagar,2015,Residential,157,11.2,60.5,0.25,0.8,14.2,0,1515.83
Pilkhuwa,2025,Agricultural,130,12.1,52.9,0.6,14.2,17.4,1,330.33
Hapur,2017,Residential,151,7.4,50.8,0.4,12.2,27.4,0,1356.44
Meerut,2021,Mixed-use,206,11.6,61.0,0.14,1.1,0.5,1,3219.67
Pilkhuwa,2017,Residential,129,9.3,62.8,0.35,16.2,20.7,0,1447.14
Ghaziabad,2025,Mixed-use,239,7.7,26.5,0.31,3.4,10.1,0,5312.82
Ghaziabad,2019,Commercial,234,6.7,45.5,0.28,6.7,0.5,1,4579.85
Sardhana,2020,Mixed-use,91,22.9,64.7,0.77,18.7,43.4,0,1730.25
Sardhana,2023,Residential,149,18.0,67.8,0.35,26.2,39.0,1,1367.52
Baghpat,2025,Mixed-use,220,25.4,63.6,0.47,16.5,31.8,0,2573.09
Sardhana,2023,Residential,62,29.8,61.0,0.47,42.6,42.3,0,1903.24
Muradnagar,2018,Commercial,143,2.5,43.6,0.38,14.3,32.4,0,2296.37
Muradnagar,2020,Residential,166,9.0,55.0,0.31,7.2,9.5,0,1802.71
Meerut,2018,Mixed-use,126,7.3,55.8,0.27,2.7,11.7,0,2800.17
Meerut,2021,Agricultural,242,4.3,37.7,0.06,0.5,7.1,0,429.83
Hapur,2025,Agricultural,192,13.2,60.4,0.2,7.1,20.8,0,374.31
Muradnagar,2016,Commercial,144,10.2,62.4,0.52,0.8,21.2,1,1951.91
Sardhana,2019,Commercial,152,22.0,48.6,0.39,31.1,39.9,0,2108.61
Hapur,2024,Residential,208,9.4,52.6,0.41,8.5,31.9,1,1566.34
Hapur,2023,Residential,215,10.1,62.0,0.34,0.5,26.6,0,1886.3
Sardhana,2019,Residential,131,16.0,57.9,0.63,26.4,38.4,0,1196.79
Meerut,2020,Mixed-use,179,5.1,55.9,0.31,5.6,0.5,1,2516.94
Pilkhuwa,2022,Mixed-use,151,15.0,67.5,0.4,10.6,39.2,0,2498.54
Baghpat,2025,Mixed-use,140,19.4,54.8,0.69,33.1,30.7,0,2428.14
Meerut,2021,Residential,171,9.6,33.2,0.35,0.5,1.5,0,2590.12
Hapur,2020,Agricultural,149,20.1,57.9,0.24,8.8,4.9,0,374.76
Sardhana,2016,Commercial,167,15.3,56.8,0.55,23.4,54.4,0,1576.18
Muradnagar,2021,Commercial,166,4.8,65.3,0.4,15.2,11.7,0,3013.42
Khekra,2021,Commercial,117,18.1,72.2,0.49,10.0,32.2,1,2421.9
Modinagar,2021,Residential,165,12.2,64.0,0.25,7.5,28.8,0,2256.48
Meerut,2020,Residential,166,11.2,37.5,0.29,2.1,11.0,0,2613.91
Muradnagar,2019,Commercial,204,14.0,57.2,0.45,2.3,0.5,0,2726.35
Modinagar,2016,Commercial,166,10.3,67.9,0.24,11.6,7.5,1,2381.69
Meerut,2016,Mixed-use,210,4.2,52.0,0.27,5.7,3.3,0,2281.73
Pilkhuwa,2017,Agricultural,177,12.0,68.0,0.62,8.6,23.2,0,253.24
Mawana,2018,Commercial,111,20.2,61.0,0.77,38.9,46.0,0,1817.75
Khekra,2023,Agricultural,116,21.8,72.8,0.75,18.9,20.5,0,319.47
Khekra,2021,Agricultural,147,14.2,63.3,0.55,20.7,17.8,0,276.54
Sardhana,2023,Agricultural,66,26.2,61.1,0.4,20.8,38.5,0,323.62
Ghaziabad,2016,Agricultural,210,10.2,49.9,0.28,2.5,0.5,1,524.37
Sardhana,2015,Agricultural,117,24.3,60.0,0.58,24.6,43.2,0,235.25
Pilkhuwa,2016,Residential,135,12.2,53.9,0.45,26.6,32.4,0,1216.1
Modinagar,2022,Commercial,153,12.0,51.0,0.49,0.5,15.1,1,3057.6
Meerut,2021,Mixed-use,251,8.4,46.6,0.39,18.3,11.3,1,2413.96
Pilkhuwa,2024,Commercial,149,9.6,51.2,0.43,21.1,15.2,0,3499.67
Khekra,2015,Commercial,145,22.6,68.9,0.6,22.7,29.7,0,1652.12
Meerut,2020,Mixed-use,222,14.6,56.1,0.29,0.7,9.9,1,2749.65
Hapur,2018,Commercial,209,8.9,51.4,0.27,21.5,0.5,0,2109.76
Mawana,2019,Agricultural,121,18.9,55.1,0.71,52.5,34.1,1,200
Ghaziabad,2017,Commercial,180,1.0,54.7,0.24,16.6,4.8,1,3875.93
Pilkhuwa,2025,Residential,156,15.1,68.7,0.39,18.7,38.1,1,1955.8
Khekra,2022,Residential,144,18.2,59.3,0.5,19.9,27.7,0,1596.18
Ghaziabad,2016,Residential,255,8.3,45.3,0.16,0.7,3.4,1,2306.8
Ghaziabad,2022,Mixed-use,246,6.2,58.6,0.21,17.8,3.2,1,4233.94
Pilkhuwa,2019,Mixed-use,167,13.8,55.9,0.3,2.4,18.7,0,2095.63
Hapur,2023,Residential,192,15.9,58.7,0.51,22.7,33.3,1,1577.38
Muradnagar,2020,Commercial,170,22.0,53.4,0.36,1.1,10.1,1,2715.12
Khekra,2017,Mixed-use,116,13.4,51.1,0.69,22.0,29.2,0,1405.08
Mawana,2018,Mixed-use,152,26.0,60.2,0.39,37.6,35.3,0,1488.48
Baghpat,2025,Mixed-use,145,19.5,70.4,0.5,28.6,32.4,0,2448.46
Ghaziabad,2021,Mixed-use,227,9.1,44.5,0.43,3.6,16.9,1,3847.05
Pilkhuwa,2022,Commercial,112,17.1,69.1,0.31,5.7,29.2,0,3675.4
Sardhana,2017,Agricultural,163,21.8,74.7,0.62,28.4,49.7,0,236.77
Khekra,2025,Agricultural,188,23.3,59.2,0.53,14.4,24.8,0,312.59
Pilkhuwa,2020,Agricultural,172,12.1,59.2,0.55,18.2,22.1,0,300.04
Ghaziabad,2023,Residential,233,4.7,34.8,0.56,0.5,0.5,0,3867.78
Sardhana,2016,Agricultural,120,24.1,79.6,0.31,27.1,17.0,0,254.73
Khekra,2023,Residential,184,19.6,63.3,0.5,21.2,20.8,0,1800.7
Hapur,2023,Commercial,167,19.8,57.1,0.4,18.2,7.4,0,3177.06
Baghpat,2023,Commercial,157,21.4,51.6,0.55,18.3,24.2,0,2862.85
Sardhana,2025,Agricultural,167,28.6,78.1,0.54,15.2,48.8,0,348.77
Modinagar,2025,Agricultural,136,10.7,44.3,0.45,24.6,6.5,0,456.79
Meerut,2019,Commercial,226,4.4,39.4,0.32,0.8,0.5,0,3422.43
Baghpat,2017,Residential,172,21.4,59.4,0.62,26.8,31.2,0,1275.24
Sardhana,2020,Commercial,82,15.9,64.5,0.42,39.7,34.4,0,2427.0
Khekra,2019,Agricultural,128,14.5,53.2,0.41,25.2,28.0,0,269.06
Pilkhuwa,2024,Mixed-use,169,20.3,57.3,0.59,0.6,20.6,0,2550.71
Muradnagar,2017,Agricultural,202,11.9,47.6,0.53,0.5,21.2,0,262.78
Ghaziabad,2022,Mixed-use,270,8.2,47.3,0.2,22.9,14.6,0,4204.73
Meerut,2020,Commercial,240,7.0,34.1,0.44,2.4,11.0,0,3239.63
Ghaziabad,2016,Agricultural,208,8.3,53.7,0.15,9.3,4.5,1,531.19
Ghaziabad,2018,Agricultural,212,3.4,59.5,0.12,0.5,0.5,1,597.54
Baghpat,2020,Commercial,91,12.9,67.9,0.54,17.4,28.6,0,2692.32
Hapur,2025,Residential,214,5.8,54.3,0.55,9.5,16.0,0,1808.4
Modinagar,2024,Commercial,174,12.1,54.4,0.39,8.2,25.8,1,3407.2
Mawana,2019,Commercial,113,22.8,53.5,0.77,23.7,19.6,0,1893.48
Sardhana,2020,Agricultural,161,25.2,70.0,0.47,27.5,39.8,0,281.19
Meerut,2025,Agricultural,197,16.2,59.7,0.2,5.2,12.3,0,614.26
Modinagar,2018,Residential,188,3.2,62.4,0.12,6.7,17.9,0,1599.89
Hapur,2022,Residential,216,1.9,50.3,0.59,12.5,37.1,1,1386.34
Meerut,2017,Residential,209,8.7,47.5,0.17,3.9,0.5,0,2208.5
Muradnagar,2015,Residential,143,13.2,62.8,0.28,24.0,28.0,0,1478.03
Meerut,2017,Agricultural,159,7.3,47.6,0.59,8.3,10.4,1,330.72
Muradnagar,2023,Mixed-use,155,8.3,47.7,0.42,16.9,33.0,0,2446.56
Pilkhuwa,2018,Commercial,137,13.9,70.5,0.41,3.6,30.6,0,2573.72
Khekra,2018,Residential,154,20.0,54.8,0.74,18.7,12.6,0,1108.64
Baghpat,2018,Agricultural,136,16.4,79.4,0.58,4.2,46.9,0,278.83
Hapur,2023,Agricultural,197,20.9,52.2,0.29,8.6,15.3,1,306.63
Ghaziabad,2021,Agricultural,187,5.6,25.2,0.33,4.7,18.6,1,584.57
Modinagar,2021,Mixed-use,211,6.5,58.4,0.46,20.3,13.6,0,2276.96
Mawana,2019,Residential,150,18.4,64.6,0.49,23.2,43.5,0,1163.98
Hapur,2015,Agricultural,123,17.2,68.6,0.37,22.5,28.6,1,277.61
Muradnagar,2023,Commercial,153,11.6,49.9,0.34,0.5,21.5,1,2998.46
Meerut,2018,Commercial,163,7.9,29.0,0.22,8.8,9.4,1,3132.11
Pilkhuwa,2023,Mixed-use,156,4.3,77.7,0.2,5.1,18.9,0,2460.2
Meerut,2023,Agricultural,167,8.4,54.1,0.34,6.6,0.5,0,538.92
Meerut,2019,Commercial,165,5.7,45.8,0.13,17.4,3.8,1,3193.9
Sardhana,2017,Commercial,134,13.0,65.0,0.49,18.4,35.6,0,1901.89
Modinagar,2020,Commercial,213,4.3,56.1,0.56,4.1,14.2,1,2475.36
Pilkhuwa,2018,Residential,86,21.1,64.9,0.4,29.3,22.1,0,1698.08
Baghpat,2023,Agricultural,142,16.7,79.2,0.6,10.0,44.7,0,331.65
Baghpat,2015,Mixed-use,163,16.4,66.3,0.75,39.4,43.2,0,1322.31
Khekra,2024,Commercial,83,22.5,53.9,0.62,9.2,40.1,0,2956.88
